iter	Logloss
0	0.6239934962
1	0.5600252026
2	0.5173649791
3	0.4758314674
4	0.4397398631
5	0.4171054792
6	0.3910964289
7	0.3754414396
8	0.3451941571
9	0.3340356325
10	0.3169788125
11	0.3089694753
12	0.3004525864
13	0.2937519639
14	0.2875602253
15	0.2796846536
16	0.2728625536
17	0.2671739627
18	0.2636859793
19	0.2591617065
20	0.2554519972
21	0.2512299762
22	0.2468154156
23	0.2425353095
24	0.2407238706
25	0.2373112227
26	0.2358866636
27	0.234730645
28	0.2323681698
29	0.2314489941
30	0.2263306274
31	0.2241855055
32	0.2233929583
33	0.2230820852
34	0.2219711254
35	0.2211424444
36	0.220348377
37	0.2186309471
38	0.2178829682
39	0.2173825951
40	0.2162666957
41	0.2154911725
42	0.2125005365
43	0.2115138383
44	0.2107430329
45	0.2095696078
46	0.2086698885
47	0.2082450816
48	0.2073221921
49	0.2066356414
50	0.2063795026
51	0.20594126
52	0.205495579
53	0.2042562363
54	0.2039072822
55	0.2034300646
56	0.202481233
57	0.2020469367
58	0.2017480732
59	0.2013860667
60	0.2008842182
61	0.2005038137
62	0.2001364671
63	0.1997963495
64	0.1992146664
65	0.1987918017
66	0.198480061
67	0.1982230016
68	0.1958797262
69	0.1955292582
70	0.1950264124
71	0.1942274437
72	0.1939671075
73	0.1936895971
74	0.1932628394
75	0.1925888475
76	0.1922647096
77	0.1918002337
78	0.1914417347
79	0.1908690263
80	0.1902864176
81	0.1899016402
82	0.1894558072
83	0.1890460499
84	0.1886816316
85	0.1882660489
86	0.1878756244
87	0.1873773876
88	0.1868943714
89	0.1865377683
90	0.1855645559
91	0.1850357251
92	0.1843163696
93	0.1840484169
94	0.183506452
95	0.1830150162
96	0.1815262445
97	0.1810752502
98	0.180690079
99	0.1802400979
100	0.1798627755
101	0.1795800934
102	0.1791775021
103	0.1789180362
104	0.1783712342
105	0.1780890041
106	0.1775025851
107	0.1769148295
108	0.1762581893
109	0.1756879251
110	0.1751562414
111	0.174776616
112	0.1744341771
113	0.1740496668
114	0.1734904173
115	0.1730164524
116	0.1722886152
117	0.1717109105
118	0.1711696775
119	0.1707840227
120	0.1700607573
121	0.1696697099
122	0.1683105566
123	0.1671437687
124	0.1667314895
125	0.1663795432
126	0.1658570003
127	0.165372066
128	0.1650256046
129	0.1639859392
130	0.1636140127
131	0.1632281995
132	0.1628199781
133	0.1624908064
134	0.1611206295
135	0.1605448374
136	0.1602631262
137	0.1597607521
138	0.1595542821
139	0.1579112563
140	0.1574865491
141	0.1571397618
142	0.1568068934
143	0.1562612866
144	0.1556903097
145	0.1550595656
146	0.1546956331
147	0.1544218618
148	0.1539755432
149	0.1534687251
150	0.1531501985
151	0.1524871348
152	0.152010403
153	0.1517253335
154	0.151397142
155	0.1511451636
156	0.1508713503
157	0.1504859986
158	0.1498928665
159	0.1497104817
160	0.1494421426
161	0.1490820845
162	0.1486761906
163	0.1483365629
164	0.1480535812
165	0.1473814115
166	0.1469278609
167	0.1465218374
168	0.1461669063
169	0.1457751619
170	0.1454006498
171	0.1448979488
172	0.1446428761
173	0.1443477642
174	0.1440288014
175	0.1429261471
176	0.1423705604
177	0.1421232325
178	0.1415846293
179	0.1412058066
180	0.1409459449
181	0.1407733478
182	0.1389880223
183	0.1386023004
184	0.1384177238
185	0.1380106077
186	0.137793873
187	0.1374629632
188	0.1372637749
189	0.137009024
190	0.1366774905
191	0.1362743989
192	0.1359668246
193	0.1356271718
194	0.1352109098
195	0.1348985464
196	0.1342113788
197	0.1338567704
198	0.1335018051
199	0.1332731058
