iter	Passed	Remaining
0	10	2091
1	20	2042
2	31	2036
3	39	1932
4	50	1952
5	59	1927
6	72	2005
7	83	2006
8	93	1989
9	103	1961
10	113	1953
11	124	1943
12	133	1922
13	147	1957
14	157	1946
15	169	1948
16	180	1941
17	190	1929
18	201	1923
19	212	1912
20	223	1908
21	234	1898
22	245	1889
23	256	1878
24	268	1880
25	279	1872
26	291	1866
27	302	1856
28	313	1849
29	331	1877
30	342	1864
31	353	1853
32	365	1848
33	381	1860
34	393	1853
35	410	1870
36	425	1874
37	441	1882
38	455	1879
39	476	1905
40	489	1899
41	510	1918
42	521	1905
43	533	1892
44	546	1880
45	557	1867
46	569	1854
47	581	1841
48	593	1829
49	605	1815
50	616	1802
51	628	1790
52	641	1780
53	653	1766
54	666	1757
55	678	1744
56	690	1732
57	701	1718
58	713	1704
59	725	1692
60	737	1680
61	749	1668
62	760	1654
63	773	1643
64	789	1640
65	802	1629
66	818	1624
67	831	1614
68	845	1605
69	859	1596
70	883	1605
71	900	1600
72	915	1593
73	928	1580
74	940	1566
75	952	1553
76	964	1540
77	977	1529
78	989	1515
79	1003	1505
80	1016	1493
81	1028	1480
82	1041	1468
83	1054	1456
84	1068	1445
85	1080	1432
86	1093	1420
87	1105	1407
88	1119	1395
89	1131	1383
90	1146	1373
91	1160	1362
92	1178	1355
93	1201	1355
94	1220	1348
95	1236	1339
96	1254	1332
97	1268	1319
98	1283	1309
99	1298	1298
100	1314	1288
101	1327	1275
102	1339	1261
103	1351	1247
104	1364	1234
105	1377	1221
106	1389	1207
107	1403	1195
108	1415	1181
109	1427	1167
110	1438	1153
111	1449	1138
112	1460	1124
113	1472	1110
114	1484	1097
115	1496	1083
116	1508	1069
117	1521	1057
118	1541	1049
119	1561	1041
120	1574	1028
121	1590	1016
122	1610	1008
123	1624	995
124	1636	982
125	1648	968
126	1669	959
127	1680	945
128	1691	930
129	1703	917
130	1715	903
131	1726	889
132	1738	875
133	1749	861
134	1760	847
135	1771	833
136	1782	819
137	1794	806
138	1806	792
139	1817	779
140	1829	765
141	1839	751
142	1853	738
143	1866	725
144	1878	712
145	1890	699
146	1902	685
147	1914	672
148	1929	660
149	1942	647
150	1955	634
151	1969	621
152	1985	609
153	1995	596
154	2004	581
155	2015	568
156	2027	555
157	2037	541
158	2048	528
159	2058	514
160	2067	500
161	2077	487
162	2086	473
163	2096	460
164	2106	446
165	2114	433
166	2125	419
167	2135	406
168	2144	393
169	2153	380
170	2163	366
171	2171	353
172	2180	340
173	2190	327
174	2203	314
175	2213	301
176	2223	288
177	2233	276
178	2243	263
179	2253	250
180	2262	237
181	2271	224
182	2280	211
183	2290	199
184	2300	186
185	2309	173
186	2320	161
187	2330	148
188	2339	136
189	2348	123
190	2357	111
191	2367	98
192	2377	86
193	2386	73
194	2395	61
195	2405	49
196	2415	36
197	2426	24
198	2435	12
199	2445	0
